Language,Coefficient,Mean,Variance,Std
Bengali,MFCC_1,-36.890269401192896,170.8025858538204,13.069146332252172
Bengali,MFCC_2,22.778224142939834,31.25527770817962,5.590641976390513
Bengali,MFCC_3,-0.16482338105633038,12.309216485056194,3.508449299199889
Bengali,MFCC_4,2.1963074485207525,15.760945153098817,3.9700056867841913
Bengali,MFCC_5,-4.894810924902349,19.12118236325488,4.372777419816252
Bengali,MFCC_6,-1.8814217870989398,9.345598782540323,3.05705720956287
Bengali,MFCC_7,-1.4443998022670872,2.7721539401052295,1.6649786605555128
Bengali,MFCC_8,-2.5218567572706325,4.074388124978151,2.0185113635989644
Bengali,MFCC_9,-1.5842615683590293,1.6666555736102704,1.2909901524063885
Bengali,MFCC_10,-1.009198907457486,1.8460912238142515,1.3587093963810848
Bengali,MFCC_11,-2.0159671299205524,2.9456451960728907,1.7162882030920363
Bengali,MFCC_12,-0.79300351564031,1.0883135693181185,1.0432226844342096
Bengali,MFCC_13,-0.977775729352247,2.7314420028515913,1.6527074764917085
Malayalam,MFCC_1,-46.694420270311795,201.6746894799008,14.201221408030396
Malayalam,MFCC_2,18.6284385821439,35.17661168993515,5.930987412727762
Malayalam,MFCC_3,-0.5706097760433965,27.40691258138337,5.235161180076824
Malayalam,MFCC_4,-1.0366876889822905,8.779260835597878,2.9629817474290787
Malayalam,MFCC_5,-1.465084460422315,8.995708312820524,2.9992846335118855
Malayalam,MFCC_6,-7.749821346848852,7.699842101692866,2.7748589336564238
Malayalam,MFCC_7,-6.6998041844198095,3.4101408759010865,1.8466566751567781
Malayalam,MFCC_8,-3.4129289189052017,4.231218516880204,2.0569925903804815
Malayalam,MFCC_9,-3.9656613208147298,3.104415389386727,1.7619351263275067
Malayalam,MFCC_10,-1.1298636430341071,5.524812138083115,2.3504918927924674
Malayalam,MFCC_11,-2.6485637737811234,2.0906883901822857,1.4459212946015718
Malayalam,MFCC_12,-1.7899204634622685,1.2934289332909668,1.137290171104528
Malayalam,MFCC_13,-0.7717491623024183,2.189200521539319,1.4795947152985236
Hindi,MFCC_1,-39.322153943235314,1103.6440233386036,33.221138200528344
Hindi,MFCC_2,10.632371271858034,19.734480765976066,4.442350815275181
Hindi,MFCC_3,0.9851422650448949,7.512752401553824,2.7409400580008723
Hindi,MFCC_4,-0.27103728336339655,11.457161153115752,3.384842855010518
Hindi,MFCC_5,-2.977412457264319,4.028527546100845,2.0071192157171045
Hindi,MFCC_6,-3.9004307303586736,6.301398239682108,2.5102586001609692
Hindi,MFCC_7,-3.7487247794926217,3.66800426804893,1.9152034534348903
Hindi,MFCC_8,-2.0269153831780735,1.9827587327500376,1.4081046597288276
Hindi,MFCC_9,-2.327222182894631,1.7181756764122884,1.3107920034896035
Hindi,MFCC_10,-0.9183508725020877,1.2793325737228463,1.131075847908904
Hindi,MFCC_11,-1.499502391573148,2.2547237758989493,1.5015737663861037
Hindi,MFCC_12,-1.523931349374227,1.070758427689292,1.034774578200147
Hindi,MFCC_13,-2.013971957562112,1.8653172804181637,1.3657661880490979
